START,ComputeScalar1,Pride1,176347753409263,Pomerania,Pride1_Sense4
QUEUE,ComputeCosine,Pride1_Sense4,176347754967845,Pomerania,Pride1_Sense4
QUEUE,ComputeScalar3,Pride1_Sense4,176347755126217,Pomerania,Pride1_Sense4
START,ComputeScalar3,Pride1_Sense4,176347755218447,Pomerania,Pride1_Sense4
START,ComputeCosine,Pride1_Sense4,176347755242755,Pomerania,Pride1_Sense4
STOP,ComputeScalar1,Pride1,176347755330787,Pomerania,Pride1_Sense4
STOP,Collect2,Sense4,176347756596415,Pomerania,Pride1_Sense4
QUEUE,ComputeScalar2,Sense4,176347770236101,Pomerania,Pride1_Sense4
START,ComputeScalar2,Sense4,176347770386144,Pomerania,Pride1_Sense4
STOP,ComputeScalar3,Pride1_Sense4,176347772234955,Pomerania,Pride1_Sense4
STOP,ComputeScalar2,Sense4,176347782026962,Pomerania,Pride1_Sense4
STOP,ComputeCosine,Pride1_Sense4,176347782069756,Pomerania,Pride1_Sense4
QUEUE,Tokenize2,Sense5,176348064677022,Pomerania,Pride1_Sense5
QUEUE,Tokenize1,Pride1,176348064718277,Pomerania,Pride1_Sense5
START,Tokenize2,Sense5,176348064805797,Pomerania,Pride1_Sense5
QUEUE,Collect1,Pride1,176348065420579,Pomerania,Pride1_Sense5
START,Tokenize1,Pride1,176348065194167,Pomerania,Pride1_Sense5
START,Collect1,Pride1,176348065655011,Pomerania,Pride1_Sense5
QUEUE,Collect2,Sense5,176348065846403,Pomerania,Pride1_Sense5
START,Collect2,Sense5,176348065933048,Pomerania,Pride1_Sense5
QUEUE,ComputeCosine,Pride1_Sense5,176348066144501,Pomerania,Pride1_Sense5
START,ComputeCosine,Pride1_Sense5,176348066222348,Pomerania,Pride1_Sense5
STOP,Tokenize1,Pride1,176348075073993,Pomerania,Pride1_Sense5
STOP,Collect1,Pride1,176348075434080,Pomerania,Pride1_Sense5
QUEUE,ComputeScalar1,Pride1,176348076708883,Pomerania,Pride1_Sense5
START,ComputeScalar1,Pride1,176348076817203,Pomerania,Pride1_Sense5
QUEUE,ComputeScalar3,Pride1_Sense5,176348078267029,Pomerania,Pride1_Sense5
STOP,ComputeScalar1,Pride1,176348078415571,Pomerania,Pride1_Sense5
START,ComputeScalar3,Pride1_Sense5,176348078485485,Pomerania,Pride1_Sense5
STOP,Tokenize2,Sense5,176348216091779,Pomerania,Pride1_Sense5
STOP,Collect2,Sense5,176348304116929,Pomerania,Pride1_Sense5
QUEUE,ComputeScalar2,Sense5,176348322055653,Pomerania,Pride1_Sense5
START,ComputeScalar2,Sense5,176348322203921,Pomerania,Pride1_Sense5
STOP,ComputeScalar3,Pride1_Sense5,176348323841080,Pomerania,Pride1_Sense5
STOP,ComputeScalar2,Sense5,176348335698983,Pomerania,Pride1_Sense5
STOP,ComputeCosine,Pride1_Sense5,176348335730694,Pomerania,Pride1_Sense5
QUEUE,Tokenize1,Pride1,176348551684999,Pomerania,Pride1_Sense6
START,Tokenize1,Pride1,176348551841610,Pomerania,Pride1_Sense6
QUEUE,Tokenize2,Sense6,176348551979015,Pomerania,Pride1_Sense6
START,Tokenize2,Sense6,176348552077270,Pomerania,Pride1_Sense6
QUEUE,Collect1,Pride1,176348552513182,Pomerania,Pride1_Sense6
START,Collect1,Pride1,176348552607983,Pomerania,Pride1_Sense6
QUEUE,Collect2,Sense6,176348552834919,Pomerania,Pride1_Sense6
START,Collect2,Sense6,176348552930451,Pomerania,Pride1_Sense6
QUEUE,ComputeCosine,Pride1_Sense6,176348553053097,Pomerania,Pride1_Sense6
START,ComputeCosine,Pride1_Sense6,176348553125424,Pomerania,Pride1_Sense6
STOP,Collect1,Pride1,176348599163601,Pomerania,Pride1_Sense6
QUEUE,ComputeScalar1,Pride1,176348604666483,Pomerania,Pride1_Sense6
START,ComputeScalar1,Pride1,176348604825929,Pomerania,Pride1_Sense6
QUEUE,ComputeScalar3,Pride1_Sense6,176348605363195,Pomerania,Pride1_Sense6
STOP,ComputeScalar1,Pride1,176348605447803,Pomerania,Pride1_Sense6
START,ComputeScalar3,Pride1_Sense6,176348605509585,Pomerania,Pride1_Sense6
STOP,Tokenize1,Pride1,176348616668025,Pomerania,Pride1_Sense6
QUEUE,Tokenize1,Pride2,176348668213691,Pomerania,Pride2_Sense1
START,Tokenize1,Pride2,176348668358272,Pomerania,Pride2_Sense1
QUEUE,Tokenize2,Sense1,176348668386956,Pomerania,Pride2_Sense1
QUEUE,Collect1,Pride2,176348668773420,Pomerania,Pride2_Sense1
QUEUE,Collect2,Sense1,176348668794336,Pomerania,Pride2_Sense1
QUEUE,ComputeCosine,Pride2_Sense1,176348668897058,Pomerania,Pride2_Sense1
START,Collect1,Pride2,176348668870938,Pomerania,Pride2_Sense1
STOP,Tokenize2,Sense6,176348687008408,Pomerania,Pride1_Sense6
START,Tokenize2,Sense1,176348687104913,Pomerania,Pride2_Sense1
STOP,Tokenize2,Sense1,176348689777180,Pomerania,Pride2_Sense1
STOP,Collect2,Sense6,176348875266218,Pomerania,Pride1_Sense6
START,Collect2,Sense1,176348875350746,Pomerania,Pride2_Sense1
STOP,Collect2,Sense1,176348875753212,Pomerania,Pride2_Sense1
STOP,Collect1,Pride2,176348881766258,Pomerania,Pride2_Sense1
STOP,Tokenize1,Pride2,176348881854845,Pomerania,Pride2_Sense1
QUEUE,ComputeScalar2,Sense6,176348920365683,Pomerania,Pride1_Sense6
START,ComputeScalar2,Sense6,176348920500618,Pomerania,Pride1_Sense6
QUEUE,ComputeScalar2,Sense1,176348921218757,Pomerania,Pride2_Sense1
QUEUE,ComputeScalar3,Pride2_Sense1,176348921266106,Pomerania,Pride2_Sense1
STOP,ComputeScalar3,Pride1_Sense6,176348927301473,Pomerania,Pride1_Sense6
START,ComputeScalar3,Pride2_Sense1,176348934937600,Pomerania,Pride2_Sense1
QUEUE,ComputeScalar1,Pride2,176348936854195,Pomerania,Pride2_Sense1
START,ComputeScalar1,Pride2,176348937109563,Pomerania,Pride2_Sense1
STOP,ComputeScalar1,Pride2,176348938232604,Pomerania,Pride2_Sense1
STOP,ComputeScalar3,Pride2_Sense1,176348939877804,Pomerania,Pride2_Sense1
STOP,ComputeCosine,Pride1_Sense6,176348949204603,Pomerania,Pride1_Sense6
START,ComputeCosine,Pride2_Sense1,176348949313572,Pomerania,Pride2_Sense1
STOP,ComputeScalar2,Sense6,176348949536528,Pomerania,Pride1_Sense6
START,ComputeScalar2,Sense1,176348949584332,Pomerania,Pride2_Sense1
STOP,ComputeScalar2,Sense1,176348950153473,Pomerania,Pride2_Sense1
STOP,ComputeCosine,Pride2_Sense1,176348953777151,Pomerania,Pride2_Sense1
QUEUE,Tokenize1,Pride2,176348965161796,Pomerania,Pride2_Sense2
QUEUE,Tokenize2,Sense2,176348965742249,Pomerania,Pride2_Sense2
START,Tokenize1,Pride2,176348965744172,Pomerania,Pride2_Sense2
START,Tokenize2,Sense2,176348966627792,Pomerania,Pride2_Sense2
QUEUE,Collect2,Sense2,176348972235422,Pomerania,Pride2_Sense2
START,Collect2,Sense2,176348972366395,Pomerania,Pride2_Sense2
STOP,Tokenize2,Sense2,176348972413987,Pomerania,Pride2_Sense2
QUEUE,Collect1,Pride2,176348972658585,Pomerania,Pride2_Sense2
STOP,Tokenize1,Pride2,176348973156515,Pomerania,Pride2_Sense2
START,Collect1,Pride2,176348973215921,Pomerania,Pride2_Sense2
STOP,Collect2,Sense2,176348975051125,Pomerania,Pride2_Sense2
QUEUE,ComputeCosine,Pride2_Sense2,176348975166711,Pomerania,Pride2_Sense2
START,ComputeCosine,Pride2_Sense2,176348975237093,Pomerania,Pride2_Sense2
STOP,Collect1,Pride2,176348976144166,Pomerania,Pride2_Sense2
QUEUE,ComputeScalar2,Sense2,176348977363287,Pomerania,Pride2_Sense2
QUEUE,ComputeScalar3,Pride2_Sense2,176348977428600,Pomerania,Pride2_Sense2
START,ComputeScalar2,Sense2,176348977444800,Pomerania,Pride2_Sense2
START,ComputeScalar3,Pride2_Sense2,176348977509231,Pomerania,Pride2_Sense2
STOP,ComputeScalar2,Sense2,176348978393026,Pomerania,Pride2_Sense2
STOP,ComputeScalar3,Pride2_Sense2,176348979607268,Pomerania,Pride2_Sense2
QUEUE,ComputeScalar1,Pride2,176348979712327,Pomerania,Pride2_Sense2
START,ComputeScalar1,Pride2,176348979824588,Pomerania,Pride2_Sense2
STOP,ComputeCosine,Pride2_Sense2,176348980935151,Pomerania,Pride2_Sense2
STOP,ComputeScalar1,Pride2,176348981018839,Pomerania,Pride2_Sense2
QUEUE,Tokenize1,Pride2,176349089664113,Pomerania,Pride2_Sense3
START,Tokenize1,Pride2,176349089782660,Pomerania,Pride2_Sense3
QUEUE,Tokenize2,Sense3,176349089885793,Pomerania,Pride2_Sense3
START,Tokenize2,Sense3,176349089950971,Pomerania,Pride2_Sense3
QUEUE,Collect1,Pride2,176349090289148,Pomerania,Pride2_Sense3
START,Collect1,Pride2,176349090355380,Pomerania,Pride2_Sense3
QUEUE,Collect2,Sense3,176349090546988,Pomerania,Pride2_Sense3
